mistral_topic,meta_topic
Key Bridge Collapse,Accident
Lake Safety and Environmental Concerns,Environment
Security Incident,Crime
Rescue,Accident
Insurance Policy Change,Business
Unusual Scoreboard Message,Sports
Avalanches in Tahoe,Weather
Mountaineering,Sports
Pearl Harbor Attack,History
Fire Disaster,Accident
Explosion,Accident
Infrastructure Failure,Infrastructure
Aviation Accident,Accident
Telecommunications,Technology
Shipwreck,Accident
Fire Rescue,Accident
Death,Obituary
Appointment,Politics
White House Security Incident,Politics
Cruise Ship Incident,Accident
Accident/Disaster,Accident
Missing Submersible Search,Accident
Game Show,Entertainment
Supreme Court Decisions,Legal
Business Loans,Business
Student Debt Relief,Education
Investigation,Legal
Racial Discrimination in College Admissions,Education
Affirmative Action in Higher Education,Education
Harvard President Resignation,Education
"Academic Freedom and Diversity, Equity, and Inclusion (DEI) Statements",Education
Parenting Behavior,Family
Inclusive Playground Design,Society
College Admissions,Education
Back to School Preparation,Education
"Motherhood, Workforce Participation, Gender Gap, Child Care",Family
Disney-Florida Relationship,Politics
Identity Fraud,Crime
Antisemitism,Crime
Student Loan Forgiveness,Education
Education Funding Equity,Education
Wage Dispute,Politics
Plagiarism Scandal,Education
Harvard University President Resignation,Education
Musical Instruments,Culture
Education Crisis,Education
Academic Misconduct,Education
Disney-Florida Gov. Ron DeSantis Feud,Politics
Elimination of DEI programs,Politics
Censorship of Literature,Politics
School Building Safety,Education
Ethics in Academia,Education
Affirmative Action in College Admissions,Education
Online Speech Regulation and Antisemitism,Politics
FAFSA Issues,Education
Affordable Small-Dollar Loans,Finance
School Safety,Education
School Enrollment,Education
Affirmative Action,Education
Education Funding,Education
Black History,Culture
Obituary/Tribute,Obituary
Online Education and College Accessibility,Education
STEM Education,Education
Education - Robotics and Innovation,Education
Teachers' Strike and Contract Negotiations,Politics
Antisemitism on Campuses,Crime
School Closures,Education
Morgue Security Scandal,Crime
Teacher Strike,Politics
Transfer Policies and Success Rates for Community College Students,Education
Antisemitism on University Campuses,Crime
Higher Education,Education
Student Debt Cancellation,Education
Early Childhood Education,Education
Prison Literacy Program,Education
A-Level Results 2022,Education
Student Loan Repayment,Education
Student Violence at Brockton High School,Crime
National Debt and Fiscal Policy,Politics
School Security,Education
Antisemitism and Rising Hate Crimes Against Jews,Crime
Back to School,Education
Teacher Shortage,Education
Sexual Assault Scandal at Baylor University,Crime
Teacher Appreciation,Education
Research Misconduct,Education
Student Loan Policy,Education
Billionaires,Business
Humorous Incidents of Inappropriate Child Behavior in Public,Society
Student Loan Debt Cancellation,Education
Education Labor Dispute,Politics
Education Governance,Education
Political Feud between Walt Disney World and Florida Governor Ron DeSantis,Politics
Diversity and Inclusion in the State Department,Politics
School Schedule Change,Education
Ohio State Budget,Politics
Baltimore Bridge Collapse,Accident
Firefighter's Death,Accident
Wildfires in Greece,Environment
Wildfires in Rhodes,Environment
Charity Fire,Accident
Power Outage,Accident
Wildfire,Environment
Disaster and Community Support,Accident
Fire Damage to Church,Accident
House Explosion,Accident
Community Support,Society
Transportation Accident,Accident
Legal Challenge to Offshore Gas Project,Politics
Refinery Fire,Accident
Industrial Fire,Accident
Cave Rescue,Accident
Rebuilding Efforts,Society
Earthquake Preparedness,Weather
Earthquake in Japan,Weather
Bridge Safety,Infrastructure
Explosion at Factory,Accident
Fire Displaces Family Days Before Christmas,Accident
Missing Persons,Accident
Natural Disaster,Weather
Arson at Salvation Army Center,Crime
Housing Displacement and Fire Safety,Housing
Fire Incident,Accident
Pizzeria Fire and Rebuilding Efforts,Accident
Community Response,Society
Building Collapse and Negligence,Accident
Disaster,Accident
Caving Accident,Accident
Rescue Operation,Accident
Train Derailment and its Aftermath in East Palestine,Accident
Typhoon Doksuri,Weather
Wildfire on Rhodes Island,Environment
Fire at Daycare Center,Accident
Transportation Delays,Traffic
Earthquake in Afghanistan,Weather
Maritime Training and Safety,Accident
Surfside Condo Collapse Site,Accident
Earthquake Disaster in Japan,Weather
"Wildfire in Tenerife, Canary Islands",Environment
"House Fire in Fallon, Nevada",Accident
Earthquake and Tsunami,Weather
Industrial Accident,Accident
Vehicle Fire,Accident
Ed Sheeran's Personal Life,Entertainment
Legal Proceedings against Trump,Legal
Ethics Controversy Surrounding Supreme Court Justice Clarence Thomas,Legal
Illicit Marijuana Trade,Crime
Lawsuit over Aretha Franklin's will,Legal
Workplace Culture,Business
Police and Law Enforcement,Crime
Gun Control,Politics
Ethics Scandal,Politics
Justice,Legal
Ethical Misconduct in Supreme Court,Legal
Trump Legal Troubles,Legal
Trump's Twitter Data Investigation,Legal
Elon Musk and Twitter,Technology
Diversity in Judiciary,Politics
Gun Rights,Politics
Defamation,Legal
Legal Troubles of Donald Trump,Legal
Trump's Classified Documents,Legal
Supreme Court,Legal
Rikers Island Jail Violence,Crime
9/11 Attacks,War
Scott Peterson Case,Crime
Wealth Tax,Politics
Sexual Assault Allegations against Kevin Spacey,Crime
2024 Republican Presidential Nomination,Politics
Military Justice,Military
Legal Dispute,Legal
Legal Challenge to Digital Advertising Tax,Politics
Christmas Celebration,Events
Juul Layoffs and Settlements,Business
Legal Proceedings of Former President Donald Trump,Legal
Trump Civil Trial,Legal
Cannabis Industry,Business
Capital Punishment,Politics
Legal and Financial Implications of O.J. Simpson's Death,Legal
Marijuana Regulation,Politics
Jury Tampering Allegations,Legal
White Nationalist Hate Group Lawsuit,Legal
O.J. Simpson,Crime
Defamation Lawsuit,Legal
Fireworks Safety and Regulations,Safety
Spring Break Regulations,Politics
Georgia Election Interference Case,Politics
Trump Defamation Trial,Legal
Ethics in the Supreme Court,Legal
Sexual Assault Allegation,Crime
Legal Pursuit of Donald Trump,Legal
Trump Investigation,Legal
Defamation Trial,Legal
Trump New York Fraud Trial,Legal
Civil Lawsuit against Donald Trump for Battery and Defamation,Legal
Marijuana Business,Business
Abortion,Politics
Lawsuit against Donald Trump,Legal
Drug Treatment Facilities in East Harlem,Health
Guns and Domestic Violence,Crime
Second Amendment Rights,Politics
Legal Troubles of Former President Trump,Legal
Spring Break,Events
Legislation Regarding Drag Shows and Children's Exposure,Politics
Hush Money Trial,Legal
US Politics,Politics
Indigenous Rights and Fashion Event in Brazil,Culture
Supply Chain Communications and AI,Business
Leadership Delegation and its Risks,Business
Housing Affordability for Generation Z,Housing
Gold IRAs,Finance
Personal Loans,Finance
AI and Music Industry Lawsuit,Legal
Artificial Intelligence in Food and Beverage Industry,Technology
Life Insurance,Finance
Inflation and Social Security,Economy
Taxes,Finance
Inflation,Economy
Interest Rates,Economy
Leadership,Business
Gold Investment,Finance
Spa Industry,Business
Sustainable Generative AI,Technology
Career Decisions and Voice,Business
Workplace Flexibility,Business
Electric Vehicles,Technology
Bitcoin ETF Approval,Finance
Investing in Gold Coins,Finance
AI-generated cyber threats,Technology
Car Loans,Finance
Tax Policy,Politics
Rebranding,Business
Financial Advisory Industry Succession Planning,Finance
Data Privacy and Regulation in BNPL Industry,Finance
Cryptocurrency Regulation,Finance
Home Equity Loans and Borrowing,Finance
Energy,Energy
Artificial Intelligence Misuse in Cybercrime,Technology
Personal Finance,Finance
Data Integration Hub (DIH),Technology
Deceptive Advertising,Business
High-Yield Savings Accounts,Finance
Creativity,Culture
Regulation of Stablecoins,Finance
Public Relations,Business
Ford Q3 Earnings and Financial Performance,Finance
Investments,Finance
Taxation,Finance
Exxon Mobil Q1 2024 Earnings,Finance
Climate Change Impact on Home Insurance,Environment
Cryptocurrency,Finance
Mortgage Crisis and Interest Rates,Finance
Mortgage Rates,Finance
Walgreens Stock Performance,Finance
Social Security,Finance
AI Governance and Ethics,Technology
Oil Prices,Energy
Housing Market,Housing
Credit Card Debt Relief,Finance
Generative AI and Data Strategy,Technology
Auto Loan Delinquencies and Economic Impact,Finance
Business Leadership,Business
Workplace Culture and Mental Health,Business
Organizational Culture,Business
Verizon Earnings and Stock Performance,Finance
Stock Market and Precious Metals,Economy
Credit Card Late Fees Regulation,Finance
Adjustable Rate Mortgages,Finance
Meaning at Work,Business
Crypto Regulation,Finance
Certificates of Deposit (CDs),Finance
AI in Government Services,Technology
Credit Card Late Fees,Finance
White-Collar Job Cuts and AI,Business
Brand Management,Business
Interactive Malware Analysis,Technology
Monetary History,Finance
Bitcoin ETF,Finance
Investment and Stock Market,Finance
Tax Planning for Business Owners,Finance
Auto Insurance Rate Increase,Finance
Tax Filing,Finance
Retirement Planning,Finance
Medicare Supplemental Insurance,Health
Commercial Real Estate,Housing
Housing Crisis,Housing
AI in resolving workplace disputes,Technology
Dog Park,Lifestyle
Pet Rescue,Family
Animal,Animals
Dog Training,Lifestyle
Mountain Lions,Animals
Animal Abandonment and Shelter Dogs,Animals
Rhino Conservation,Animals
Petting Zoo Approval,Animals
Animal Adoption and Film Event,Animals
Shark Behavior and Conservation,Animals
Dog Photography,Lifestyle
Lost Dog,Animals
Bear Relocation,Animals
Dog Laws and Enforcement,Politics
Unusual Canine Friendship,Animals
Pet Behavior,Family
Disneyland Incident,Events
Pet Health and Zoonotic Diseases,Health
Birth of Sumatran Orangutan at Denver Zoo,Animals
Animal Cruelty,Crime
Theft,Crime
Moose Attacks on Humans,Animals
Animal Abandonment,Animals
Dog Introductions,Lifestyle
Pet Abandonment,Animals
Zoo Closure,Events
Wildlife Tourism,Travel
Dog Mental Health and Enrichment,Family
Child Lost in Woods,Accident
Animal Welfare,Animals
Pet Adoption,Family
Animal Health,Health
Dog Breeds,Animals
Dog-friendly Policies in Pubs,Lifestyle
Facility Dog at Rocky Mountain Hospital for Children,Health
Animal Abandonment and Rescue,Animals
Animals,Animals
Animal Conservation,Animals
Animal Attack,Accident
Pet Insurance for Dogs,Finance
Reality TV Show: Alone,Entertainment
Dog Recovery,Family
Animal Intelligence,Animals
Animal Birth,Animals
Wildlife Conservation,Animals
Animal Recovery,Animals
Police Encounters,Crime
Burmese Python Hunt Competition,Animals
Wildlife Rescue,Animals
Safety Awareness,Society
Neighbor Dispute,Crime
Bachelor Party,Events
Crocodile Attack,Accident
Anthropomorphism,Culture
Zoo Animal Deception,Animals
Dog Nutrition,Lifestyle
Pet Adoptions,Family
Pet Health,Health
Wildlife/Nature,Animals
Pet Theft,Crime
Pet Care Industry,Business
Dog Attack,Accident
Rattlesnake Removal,Animals
Grizzly Bear Attack,Accident
Personal Growth and Pet Ownership,Lifestyle
Shark Migration,Animals
NYC Migrant Crisis,Immigration
Migrant Crisis,Immigration
Housing Crisis and Rezoning,Housing
Migrant Shelters and Health Crisis,Health
Rikers Island Closure,Politics
Immigration and Education,Education
Housing of Illegal Immigrants in Chicago,Housing
Migrant Housing Policy,Immigration
Migration Crisis in Europe,Immigration
Asylum Seekers in Chicago,Immigration
Migration Crisis,Immigration
Immigration and Homelessness,Housing
Immigrant Shipwreck,Immigration
Royal Security,Politics
Asylum Seekers,Immigration
Environmental Health and Safety,Environment
New York's Migrant Crisis,Immigration
Asylum Seekers and Immigration,Immigration
Migrants,Immigration
Border Control,Politics
Migrant Boat Disaster,Immigration
Border Crossing Crisis,Immigration
Migrant Tent Camps,Immigration
SpaceX Discrimination Lawsuit,Legal
Prince Harry's Security,Politics
Boat Accident in Nigeria,Accident
Abolition of Public Advocate Office,Politics
Boat Incident,Accident
Protest Against Migrant Base Camp,Protests
Environmental Pollution,Environment
Migration Crisis Management,Immigration
Border Barrier Controversy,Politics
Immigration Policy and Migrant Crisis,Immigration
Asylum Seeker Crisis,Immigration
Border Crisis,Immigration
Asylum Seekers Eviction,Immigration
Migrant Crisis in Chicago,Immigration
Asylum Seekers Relocation,Immigration
Migrant Surge at Northern Border,Immigration
Protest Against Migrant Shelter,Protests
Migrant Housing,Immigration
Migrant Assistance,Immigration
Immigration and National Security,Politics
Immigration Crisis in New York,Immigration
Urban Migration and City Policies,Politics
Chicago Migrant Crisis,Immigration
Homeless Crime Prevention,Crime
Immigration Crisis in New York City,Immigration
Restaurant Opening,Business
Kitchen Gifts and Gadgets,Lifestyle
Palm Beach Food & Wine Festival,Events
Folk Art,Culture
Real Estate Development and Neighborhood Growth,Housing
Health and Nutrition,Health
Fruit Harvest,Agriculture
Fabergé and Champagne,Lifestyle
Starbucks Pumpkin Spice Latte,Business
Food and Beverage,Business
Printers Row Literary Festival,Events
Culinary,Lifestyle
Thanksgiving,Events
Events,Events
Luxury Hotels in London,Travel
Luxury Office Building,Business
Inflation and Food Prices,Economy
Food Bank,Charity
Foraging and Cooking with Mushrooms,Lifestyle
Grief Awareness and Support,Health
Rosé Wine,Lifestyle
Turkey Trot Charity 5K,Events
Spring Open House,Events
Food and Beverage Event,Events
Disney World,Entertainment
Beauty & Cocktails,Lifestyle
Midnight Snacks,Lifestyle
Brewery,Business
Food and Dining,Lifestyle
Restaurant Industry Adapting to Changes in Consumer Habits,Business
Event,Events
Louisville Restaurants,Lifestyle
Beer Sales and Packaging Trends,Business
Dining and Restaurant Reviews,Lifestyle
Labor Market,Economy
Food Tours,Lifestyle
Food & Dining,Lifestyle
Food Scene in Sacramento,Lifestyle
Spirits Awards,Business
Small Businesses,Business
Charity Event,Events
Events in San Antonio,Events
Gluten-Free Food and Recipes,Lifestyle
Food and Restaurants,Lifestyle
Chicago Culture,Lifestyle
Haunted Places,Lifestyle
Food Festival,Events
Restaurant Opening and City Guide,Business
Thanksgiving Cooking Tips and Leftover Recipes,Lifestyle
Social Services,Society
Data Privacy,Technology
Denver Restaurant Week,Events
Cooking and Food,Lifestyle
Expansion of Primanti Bros. Restaurant,Business
Restaurant Photography Popularity,Business
Orchids,Lifestyle
Golden Gate Bakery,Lifestyle
Mediterranean Diet,Health
Wine Flood,Accident
Reese's Peanut Butter Cups,Lifestyle
Food Waste Management,Environment
Community Assistance,Charity
Ice Cream Making,Lifestyle
Thanksgiving Celebrations,Events
Oktoberfest,Events
Food & Dessert,Lifestyle
Hispanic Street Festival,Events
Shopping,Business
Miami Food Scene,Lifestyle
Multiday Events,Events
2023 Minnesota State Fair Foods,Events
Solar Eclipse,Science
Geriatric Medicine,Health
Space Exploration,Science
Nobel Peace Prize,Culture
Lantern Festival at Ross Park Zoo,Events
Solar Eclipse Safety,Science
Total Solar Eclipse,Science
Asteroid Sample Analysis,Science
Astronomy,Science
Agricultural Development and Sustainability,Environment
Ancient Mastodon Discovery,Science
Lifestyle,Lifestyle
Nobel Prize in Medicine,Culture
India’s Successful Chandrayaan-3 Lunar Mission,Science
Asteroid Exploration,Science
Astronomical Event and Religious Freedom,Culture
Nature,Environment
Gender Gap in Labor Market,Society
Women’s Rights and Democracy in Iran,Politics
Climate Change in Antarctica,Environment
Lightning Strike Incident,Accident
Exoplanets and Exoastronomy,Science
Eclipse,Science
Commercial Spaceflight,Science
UFO Sightings,Science
Armenian Cuisine and Wine,Lifestyle
Dance,Lifestyle
Astronomy and Animal Behavior,Science
Space Mission,Science
Transportation,Transportation
Nobel Prize in Chemistry,Culture
Total Solar Eclipse in Dallas,Science
Asteroid Sample Collection,Science
Space Tourism,Science
Asteroids,Science
Space Travel and Human Physiology,Science
Paleontology,Science
Space Junk,Science
Space Debris Incident,Accident
Infrared Telescopes,Science
Total Solar Eclipse in Texas,Science
Newly Discovered Species in Los Angeles,Science
Accessibility for Visually Impaired during Solar Eclipse,Society
Halley’s Comet,Science
Solar Eclipse and STEM Education,Education
NASA Mars Simulation,Science
Train Derailment,Accident
Congestion Pricing Plan,Politics
Unusual Air Travel Experience,Travel
Transportation Disruption,Transportation
Congestion Pricing,Politics
Subway Safety,Transportation
Train Derailment and Compensation,Accident
Flight Cancellations,Travel
Air Travel Disruptions,Travel
Airline Disruption,Travel
Transport Infrastructure,Infrastructure
Residential Parking Permits,Politics
SEPTA Transit Police Strike,Politics
Transport,Transportation
Lyft’s Women+ Connect Program,Technology
SEPTA Regional Rail Schedule Changes,Transportation
Infrastructure,Infrastructure
Technical Issue at Alaska Airlines,Travel
Rail Service Resumption,Transportation
Rail Expansion in Ohio,Infrastructure
Airplane Threat,Crime
Ship Accident,Accident
Government Policy,Politics
Infrastructure and Urban Development,Infrastructure
Aircraft Safety Incident,Accident
Arson Investigation and Freeway Fire,Accident
Rideshare Services in Minneapolis,Business
Weather Delays at Airports,Weather
Airline Boarding Process Changes,Travel
Aircraft Safety Regulations and Inspections,Accident
Airport Incident,Accident
Infrastructure Development and Traffic Management,Infrastructure
Infrastructure Disaster and Traffic Congestion,Infrastructure
Valley Link Commuter Rail,Transportation
Airline Delays and Cancellations,Travel
Homeless Crisis,Housing
Railroad Safety,Transportation
Lead Pipe Replacement,Infrastructure
Air Travel Incident,Travel
Infrastructure Development,Infrastructure
Water Crisis,Environment
BART Extension,Transportation
Rear Seat Safety in Minivans,Safety
Law Enforcement Activity,Crime
Metra Fare Changes,Transportation
Airline Industry,Business
Infrastructure Maintenance,Infrastructure
Plastic Product Ban,Environment
Airplane Crash,Accident
Sumner Tunnel Construction,Infrastructure
Rideshare Strike,Politics
Government Funding for Transport Infrastructure,Politics
Roadwork and Traffic Delays,Transportation
Congestion Pricing in New York City,Politics
Public Transportation Disruption,Transportation
Airline Meltdown and Fine,Travel
Affordable Housing,Housing
Aircraft Diversion,Travel
Rider Safety on Metro Transit,Transportation
E-Scooter Safety Concerns,Safety
Guided Busway Infrastructure,Infrastructure
Airport Noise Control,Politics
Airport Operations,Transportation
Aviation Incident,Accident
737 Max Inspection Process,Accident
Transportation Delay,Transportation
Transportation Policy,Politics
